name	direction_1to2	room1	room2	question1	solution1	val1	hint1	prepare1	cleanup1	question2	solution2	val2	hint2	prepare2	cleanup2
d_lounge_intro	north	lounge	intro	[2 の 3 乗]　と、 [10 引く 2] を掛けると ? (Rを使って!)	(2 ^ 3) * (10 - 2)	64	2 ^ 3 = 8	NA	NA	help()関数を使用しsolution()関数の詳細を表示してください。	help(solution)	NA	?help	NA	NA
d_intro_simple	east	intro	simple	あなたのワークスペースに変数xを定義しました。変数xを削除しなさい。	rm(x)	NA	rm	"x <<- ""a"""	"tryCatch(rm(x, envir = globalenv()), warning = function(w) {invisible()})"	"数列[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]を作成してください。要素を直接書き下さないこと。"	"seq(2, 20, 2)"	NA	?seq	NA	NA
d_simple_objectsRoom	east	simple	objectsRoom	あなたのワークスペースに変数xを定義しました。定義されたベクトルxの第2の要素を欠損値に置き換えなさい。	x[2] <- NA	NA	?`NA`	x <<- 1:5	"tryCatch(rm(x, envir = globalenv()), warning = function(w) {invisible()})"	変数DFの型(class)を答えてください。	class(DF)	NA	文中に答えがあります。	"DF <<- data.frame(x = 1:3, y = 4:6)"	"tryCatch(rm(DF, envir = globalenv()), warning = function(w) {invisible()})"
d_simple_darkRoom1	south	simple	darkRoom1	"paste0関数を用いて文字列""tea""と""cup""を連結しなさい。"	"paste0(""tea"", ""cup"")"	NA	?paste0	NA	NA	NA	NA	NA	NA	NA	NA
d_objectsRoom_factors	south	objectsRoom	factors	Rでは円周率を求めるにはどうしたらいいでしょうか。	pi	NA	名前の通り。	NA	NA	変数nに格納されたベクトルの最大値と最小値を単一の関数で取得してください	range(n)	NA	?range	"n <<- sample(1:10, 5)"	"tryCatch(rm(n, envir = globalenv()), warning = function(w) {invisible()})"
d_factors_darkRoom1	west	factors	darkRoom1	"文字ベクトルを格納した変数aを因子ベクトルに変換し変数bに代入してください。その際""as""は使用しないこと。"	b <- factor(a)	NA	読んだ通りです。	"a <<- c(rep(""a"", 3), rep(""b"", 4), rep(""c"", 5))"	"tryCatch(rm(a, b, envir = globalenv()), warning = function(w) {invisible()})"	NA	NA	NA	NA	NA	NA
d_factors_arrays	up	factors	arrays	heightという変数には10人の男性の身長を格納している。変数countriesには居住国が格納されている。各国の身長の最小値を求めなさい。	"tapply(height, countries, min)"	NA	?tapply	"height <<- sample(160:200, 10); countries <<- gl(2, 5, labels = c(""Albania"", ""Turkey""))"	"tryCatch(rm(height, countries, envir = globalenv()), warning = function(w) {invisible()})"	"行列式 matrix(1:3, ncol = 3, nrow = 4)はエラーを返す。TRUE or FALSE"	FALSE	NA	実行して確認してみよう。	NA	NA
d_arrays_lists	west	arrays	lists	ベクトルを格納した変数xの度数分布表を入手しなさい。	table(x)	NA	"""頻度""じゃないからね。"	"x <<- c(rep(""escape"", 5), rep(""from"", 4), rep(""OS"", 6), rep(""Tower"", 2))"	"tryCatch(rm(x, envir = globalenv()), warning = function(w) {invisible()})"	変数lのリストの2番目の要素を取得してください。	l[[2]]	NA	?Extract	"l <<- list(a = ""do not go west"", b = ""lounge has objects"", c = ""Lady R is coming"")"	"tryCatch(rm(l, envir = globalenv()), warning = function(w) {invisible()})"
d_arrays_darkRoom2	north	arrays	darkRoom2	配列zの全ての要素を３倍しなさい。	z * 3	NA	このくらい簡単なんだよッ	"z <<- array(1:12, c(3, 4))"	"tryCatch(rm(z, envir = globalenv()), warning = function(w) {invisible()})"	NA	NA	NA	NA	NA	NA
d_lists_timeRoom2	west	lists	timeRoom2	岩石のデータセットのエリアコラムを降順に並べ替えなさい。	"sort(rock$area, decreasing = TRUE)"	NA	decreasing = TRUE	NA	NA	NA	NA	NA	NA	NA	NA
d_lists_reading	north	lists	reading	"リストyの4番目の要素名を""dragon""に設定しなさい。"	"names(y)[4] <- ""dragon"""	NA	names(y)	"y <<- list(""one"" = 1, ""two"" = 2, ""three"" = 3, ""four"" = 4)"	"tryCatch(rm(y, envir = globalenv()), warning = function(w) {invisible()})"	"read.tableのパラメーターで例えば10行目を飛ばすような操作に使うパラメーターは何ですか。""""で囲んでパラメータ名を答えてください。"	"""skip"""	NA	?read.table	NA	NA
