name	room	objName	location	type	points	question	solution	val	hint	tip	floorMapsIdx	prepare	cleanup
o_intro_1	intro	ペン	床の上	power	3	hint() 関数の頭に?をつけてヘルプを表示しましょう	`?`(hint)	NA	"?""?"""	NA	0	NA	NA
o_intro_2	intro	ハコ	椅子の上	pwd	0	"ベクトル [1, 2, 3]を作成するには？"	"c(1, 2, 3)"	"c(1, 2, 3)"	c	NA	0	NA	NA
o_simple_3	simple	ボトル	ベッドの上	tip	0	変数名xに数値7を格納してください	x <- 7	NA	ヤジルシ	アール婦人に追いつかれるまでの時間が知りたいなら、?timeLeftを試してみてください	0	NA	"tryCatch(rm(x, envir = globalenv()), warning = function(w) {invisible()})"
o_simple_4	simple	本	スタンドの上	power	3	ベクトルが格納された変数xが作成されました。Xの各要素の平方根を求めてください。	sqrt(x)	NA	答えは7文字。	NA	0	"x <<- c(4, 9, 16)"	"tryCatch(rm(x, envir = globalenv()), warning = function(w) {invisible()})"
o_objectsRoom_5	objectsRoom	ティッシュ	床の上	power	3	変数名zの長さを表示してください	length(z)	NA	必要な要素は文中にあります	NA	0	z <<- 1:999	"tryCatch(rm(z, envir = globalenv()), warning = function(w) {invisible()})"
o_objectsRoom_6	objectsRoom	写真	壁	map	0	変数名digitsに1から9までの数字が文字列として格納されています。これらを数値に変換してください。	as.numeric(digits)	NA	?as.numeric	NA	1	digits <<- as.character(1:9)	"tryCatch(rm(digits, envir = globalenv()), warning = function(w) {invisible()})"
o_objectsRoom_7	objectsRoom	缶	開いた箱の中	tip	0	変数名pに文字列が含まれるかを確認してください	is.character(p)	NA	p	ドアを開けた後再び鍵を閉めると、アール婦人の到着を遅らせることができます。?lockDoorを確認してください。	0	"p <<- ""is.character(p)"""	"tryCatch(rm(p, envir = globalenv()), warning = function(w) {invisible()})"
o_factors_8	factors	コイン	ゴミ箱の中	pwd	0	ベクトルが格納された変数vの平均は？	mean(v)	NA	必要な要素は文中にあります	NA	0	v <<- runif(10)	"tryCatch(rm(v, envir = globalenv()), warning = function(w) {invisible()})"
o_factors_9	factors	ブラシ	本棚から	power	3	変数facは因子ベクトルである。どんな要素(level)を持っているか調べてください。	levels(fac)	NA	必要な要素は文中にあります	NA	0	"fac <<- gl(3, 4, labels = c(""dont"", ""go"", ""west""))"	"tryCatch(rm(fac, envir = globalenv()), warning = function(w) {invisible()})"
o_arrays_10	arrays	クレカ	ドアの隙間	power	3	"三次元ベクトルを格納した変数x,yを結合し、3x2の行列にしてください。"	"cbind(x, y)"	NA	?cbind	NA	0	"x <<- c(4, 9, 16); y <<- c(3, -1, 8)"	"tryCatch(rm(x, y, envir = globalenv()), warning = function(w) {invisible()})"
